Gender,Age,Study_year,Living,Scholarship,Part_time_job,Transporting,Smoking,Drinks,Games_&_Hobbies,Cosmetics_&_Self-care,Monthly_Subscription,Monthly_expenses_$
Female ,19,3.0,Home,No,No,Motorcycle,No,No,Yes,Yes,Yes,200.0
Male ,23,2.0,Home,Yes,No,No,No,No,No,No,No,180.0
Male ,19,3.0,Hostel,No,No,Motorcycle,No,No,Yes,Yes,Yes,200.0
Female ,19,2.0,Home,No,No,Motorcycle,No,No,No,Yes,No,300.0
Male ,22,3.0,Hostel,No,Yes,Car,No,Yes,Yes,No,No,150.0
Female ,21,2.0,Home,Yes,No,No,No,No,Yes,No,Yes,200.0
Male ,22,3.0,Hostel,No,Yes,Motorcycle,Yes,No,Yes,Yes,Yes,200.0
Female ,18,1.0,Home,Yes,No,No,No,No,No,Yes,Yes,150.0
Male ,19,1.0,Home,No,No,No,No,No,Yes,Yes,No,200.0
Male ,22,3.0,Home,No,No,Car,No,No,No,Yes,Yes,350.0
Male ,18,2.0,Hostel,No,No,Motorcycle,No,No,Yes,No,No,180.0
Female ,18,2.0,Home,No,No,Motorcycle,No,No,Yes,Yes,No,140.0
Male ,19,2.0,Home,No,Yes,Car,Yes,No,Yes,Yes,No,150.0
Female ,22,4.0,Hostel,Yes,Yes,Car,No,No,No,Yes,Yes,300.0
Male ,18,2.0,Hostel,No,No,Motorcycle,No,No,Yes,No,No,180.0
Female ,18,2.0,Home,No,No,Motorcycle,No,No,Yes,Yes,No,140.0
Male ,19,2.0,Home,No,Yes,Car,Yes,No,Yes,Yes,No,200.0
Female ,22,4.0,Hostel,Yes,Yes,Car,No,No,No,Yes,Yes,300.0
Male ,22,4.0,Home,No,No,Car,No,No,Yes,No,No,250.0
Female ,17,1.0,Home,No,No,Car,No,No,No,No,No,250.0
Female ,19,2.0,Hostel,No,No,Car,No,No,Yes,Yes,No,150.0
Female ,23,4.0,Home,No,No,No,No,No,Yes,Yes,Yes,150.0
Female ,19,3.0,Home,No,No,Motorcycle,No,No,Yes,Yes,Yes,200.0
Male ,23,2.0,Home,Yes,No,No,No,No,No,No,No,180.0
Male ,19,3.0,Hostel,No,No,Motorcycle,No,No,Yes,Yes,Yes,200.0
Female ,19,2.0,Home,No,No,Motorcycle,No,No,No,Yes,No,300.0
Male ,22,3.0,Hostel,No,Yes,Car,No,Yes,Yes,No,No,150.0
Female ,21,2.0,Home,Yes,No,No,No,No,Yes,No,Yes,200.0
Male ,22,3.0,Hostel,No,Yes,Motorcycle,Yes,No,Yes,Yes,Yes,200.0
